codigo,n_anpc,ano,mes,dia,data_alerta,hora_alerta,data_extincao,hora_extincao,data_1intervencao,hora_1intervencao,distrito,concelho,freguesia,local,dico_ine,lat,lon,x_militar,y_militar,coord_fonte,area_total_ha,area_povoamento_ha,area_mato_ha,area_agricola_ha,tipo,causa_codigo,causa_tipo,reacendimento,incendio_florestal,incendio_agricola,queimada,duracao_h
AT901236,59.0,2001,7,19,2001-07-19,10:23:00,2001-07-19,17:23:00,2001-07-19,10:28:00,Beja,Beja,Albernoa,Corte Carrasco,20501,37.850062,-7.957713,215434.0,98173.0,dms_recuperado,135.0,135.0,0.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,7.0
TM201500,10480.0,2001,7,21,2001-07-21,09:45:00,2001-07-23,07:30:00,,,Guarda,Vila Nova De Foz Côa,Freixo de Numão,FREIXO DE NUMÃO,91406,41.0675,-7.215556,277100.0,455800.0,dms_recuperado,180.0,40.0,140.0,0.0,Florestal,,,0,1,0,0,45.75
TM201126,9463.0,2001,7,21,2001-07-21,12:15:00,2001-07-22,23:35:00,2001-07-21,12:35:00,Bragança,Carrazeda de Ansiães,Pombal,Quinta do Barraráz \ CAS,40314,41.280833,-7.384722,262696.0,479358.0,dms_recuperado,141.16,129.16,7.0,5.0,Florestal,,,0,1,0,0,35.33
BI201285,14219.0,2001,7,23,2001-07-23,15:22:00,2001-07-24,19:30:00,2001-07-23,15:22:00,Castelo Branco,Idanha-a-Nova,Zebreira,Vale Sobral \ CAS,50517,39.803333,-7.079722,290189.0,315541.0,dms_recuperado,1967.0,1167.0,800.0,0.0,Florestal,,,0,1,0,0,28.13
AT901256,19.0,2001,7,23,2001-07-23,15:50:00,2001-07-24,03:00:00,2001-07-23,16:00:00,Évora,Mora,Pavia,CASA BRANCA DO OUTEIRO,70704,38.913503,-8.05988,206350.0,216208.0,dms_recuperado,100.0,100.0,0.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,11.17
BI101356,10786.0,2001,7,25,2001-07-25,15:24:00,2001-07-26,03:40:00,2001-07-25,15:40:00,Guarda,Figueira de Castelo Rodrigo,Escalhão,ESCALHÃO,90406,40.952222,-6.928611,301400.0,443300.0,dms_recuperado,130.0,4.0,0.0,126.0,Florestal,4.0,Intencional,0,1,0,0,12.27
DM40187,12689.0,2001,7,28,2001-07-28,22:21:00,2001-07-29,19:35:00,2001-07-28,22:21:00,Viana Do Castelo,Ponte De Lima,São Pedro D Arcos,Santa Justa,160703,41.785556,-8.679167,154600.0,535300.0,dms_recuperado,159.0,65.0,94.0,0.0,Florestal,,,0,1,0,0,21.23
BI101399,11179.0,2001,7,30,2001-07-30,14:30:00,2001-08-01,22:30:00,2001-07-30,14:50:00,Guarda,Seia,Alvoco da Serra,Cerro dos Pardieiros,91201,40.304722,-7.638889,242000.0,370800.0,dms_recuperado,245.0,0.0,245.0,0.0,Florestal,5.0,Natural,0,1,0,0,56.0
TM201223,10161.0,2001,7,31,2001-07-31,00:20:00,2001-08-01,00:30:00,2001-07-31,00:50:00,Bragança,Vimioso,Uva,Cabeço do Barreal \ MTE,41111,41.515833,-6.511389,335365.0,506462.0,dms_recuperado,1161.23,48.73,1014.11,98.39,Florestal,4.0,Intencional,0,1,0,0,24.17
TM201226,10212.0,2001,7,31,2001-07-31,17:20:00,2001-08-02,18:40:00,2001-07-31,17:26:00,Bragança,Miranda do Douro,Silva,SILVA,40615,41.509167,-6.445,340928.0,505826.0,dms_recuperado,1095.992,0.0,1095.992,0.0,Florestal,,,0,1,0,0,49.33
